ano;Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro
1998;;;;;;;;1.0;20.0;41.0;131.0;84.0
1999;;1.0;2.0;;;2.0;;;4.0;25.0;26.0;41.0
2000;2.0;;;;;;;3.0;19.0;42.0;157.0;30.0
2001;;;;;;;1.0;12.0;95.0;193.0;406.0;593.0
2002;7.0;2.0;;;3.0;;2.0;21.0;152.0;710.0;1473.0;294.0
2003;35.0;;5.0;3.0;1.0;3.0;1.0;21.0;135.0;526.0;1117.0;669.0
2004;58.0;1.0;;1.0;1.0;7.0;4.0;18.0;117.0;534.0;1406.0;1266.0
2005;194.0;1.0;;;1.0;3.0;1.0;15.0;139.0;509.0;1054.0;103.0
2006;10.0;1.0;;4.0;;;;27.0;159.0;565.0;637.0;262.0
2007;12.0;1.0;2.0;;;;19.0;10.0;146.0;485.0;753.0;56.0
2008;4.0;1.0;2.0;2.0;;2.0;4.0;14.0;133.0;651.0;1182.0;158.0
2009;8.0;;;2.0;2.0;1.0;4.0;23.0;214.0;951.0;1115.0;136.0
2010;4.0;;3.0;;2.0;;3.0;2.0;72.0;358.0;490.0;66.0
2011;;3.0;;;2.0;1.0;4.0;12.0;140.0;381.0;407.0;446.0
2012;34.0;8.0;3.0;2.0;3.0;8.0;6.0;31.0;173.0;583.0;1157.0;510.0
2013;2.0;2.0;1.0;2.0;1.0;6.0;1.0;18.0;126.0;560.0;613.0;197.0
2014;25.0;2.0;2.0;1.0;;2.0;5.0;19.0;161.0;592.0;653.0;386.0
2015;27.0;;1.0;;;2.0;4.0;26.0;198.0;927.0;1424.0;327.0
2016;16.0;1.0;;;3.0;2.0;1.0;39.0;150.0;816.0;1104.0;463.0
2017;2.0;;;3.0;2.0;2.0;3.0;28.0;88.0;440.0;972.0;406.0
2018;14.0;1.0;;1.0;1.0;3.0;4.0;38.0;123.0;571.0;450.0;
2019;4.0;;;;;;4.0;21.0;138.0;540.0;503.0;67.0
2020;2.0;1.0;1.0;;;3.0;2.0;16.0;84.0;527.0;76.0;38.0
2021;;1.0;1.0;;;4.0;5.0;19.0;137.0;401.0;103.0;5.0
2022;8.0;1.0;1.0;2.0;1.0;1.0;5.0;37.0;199.0;612.0;117.0;6.0
2023;8.0;;1.0;1.0;5.0;;15.0;69.0;434.0;1063.0;891.0;65.0
2024;3.0;;;;;;;;;;;
